phrases,tagged_phrases,phrases_for_model,phrases_for_model_index,predicted_class,predicted_class_probabilities,indicator_of_score
construed,construed vbn,"['construed', 'vbn']","[3442, 4372]",2,"[0.3881945, 0.040645033, 0.46664608]",0
consumable,consumable jj,"['consumable', 'jj']","[3514, 4378]",2,"[0.078276455, 0.024797529, 0.8130829]",0
consumables,consumables nns,"['consumables', 'nns']","[1093, 4376]",2,"[0.048211873, 0.04896301, 0.8203424]",0
contact,contact nn,"['contact', 'nn']","[686, 4373]",2,"[0.009944141, 0.054963082, 0.9461997]",0
contacted,contacted vbn,"['contacted', 'vbn']","[1175, 4372]",2,"[0.21205619, 0.1569309, 0.5794918]",0
contained,contained vbn,"['contained', 'vbn']","[2352, 4372]",2,"[0.31522566, 0.07791567, 0.512423]",0
container,container nn,"['container', 'nn']","[2232, 4373]",2,"[0.02237153, 0.061399907, 0.93156284]",0
contaminates,contaminates nns,"['contaminates', 'nns']","[4337, 4376]",2,"[0.04561484, 0.026760727, 0.8414123]",0
contaminating,contaminating vbg,"['contaminating', 'vbg']","[4232, 4388]",2,"[0.017998636, 0.043555707, 0.94225585]",0
contamination,contamination nn,"['contamination', 'nn']","[667, 4373]",2,"[0.010496646, 0.05983588, 0.9408076]",0
contaminationchecked,contaminationchecked nns,"['contaminationchecked', 'nns']","[3119, 4376]",2,"[0.04148999, 0.031776965, 0.8525294]",0
content,content nn,"['content', 'nn']","[2047, 4373]",2,"[0.030738175, 0.05160132, 0.91586]",0
continue,continue nn,"['continue', 'nn']","[391, 4373]",2,"[0.010733902, 0.071418434, 0.9234397]",0
continue cleaning,continue nn cleaning vbg,"['continue', 'nn', 'cleaning', 'vbg']","[391, 4373, 356, 4388]",2,"[0.0005901754, 0.25314224, 0.7686287]",0
continue drilling,continue nn drilling vbg,"['continue', 'nn', 'drilling', 'vbg']","[391, 4373, 296, 4388]",2,"[0.00083869696, 0.27760866, 0.7333688]",0
continue issuing,continue nn issuing vbg,"['continue', 'nn', 'issuing', 'vbg']","[391, 4373, 3097, 4388]",2,"[0.000708431, 0.011867493, 0.9907321]",1
continue to be serviced,continue nn to to_pos be vb serviced vbn,"['continue', 'nn', 'to', 'to_pos', 'be', 'vb', 'serviced', 'vbn']","[391, 4373, 4, 4385, 49, 4383, 1600, 4372]",2,"[3.2192267e-05, 0.5024713, 0.71285164]",0
continue to be used,continue nn to to_pos be vb used vbn,"['continue', 'nn', 'to', 'to_pos', 'be', 'vb', 'used', 'vbn']","[391, 4373, 4, 4385, 49, 4383, 274, 4372]",2,"[1.3628021e-05, 0.0138756335, 0.99473894]",1
continued,continued jj,"['continued', 'jj']","[716, 4378]",2,"[0.018354535, 0.08232772, 0.9075785]",0
continuing,continuing vbg,"['continuing', 'vbg']","[3867, 4388]",2,"[0.01666069, 0.036654532, 0.95336294]",0
continuous,continuous jj,"['continuous', 'jj']","[4311, 4378]",2,"[0.076771736, 0.026017219, 0.81508815]",0
contract,contract nn,"['contract', 'nn']","[2142, 4373]",2,"[0.026101857, 0.05680433, 0.92555577]",0
contraints,contraints nns,"['contraints', 'nns']","[3596, 4376]",2,"[0.042313606, 0.03287533, 0.84912586]",0
contributing,contributing vbg,"['contributing', 'vbg']","[3600, 4388]",2,"[0.017356515, 0.046263814, 0.93964493]",0
control,control nn,"['control', 'nn']","[700, 4373]",2,"[0.009044677, 0.05981475, 0.94687706]",0
controlled,controlled vbn,"['controlled', 'vbn']","[2347, 4372]",2,"[0.3360569, 0.0706338, 0.4955965]",0
controller,controller nn,"['controller', 'nn']","[3521, 4373]",2,"[0.029256195, 0.05145219, 0.9200237]",0
controlles,controlles nns,"['controlles', 'nns']","[3079, 4376]",2,"[0.045998186, 0.02656588, 0.8406273]",0
controls,controls nns,"['controls', 'nns']","[3179, 4376]",2,"[0.044593126, 0.035440326, 0.84084487]",0
conversion,conversion nn,"['conversion', 'nn']","[2968, 4373]",2,"[0.039114118, 0.040406406, 0.9007296]",0
converted,converted vbn,"['converted', 'vbn']","[4317, 4372]",2,"[0.37741786, 0.046434134, 0.47081605]",0
coolant,coolant nn,"['coolant', 'nn']","[2227, 4373]",2,"[0.019173533, 0.06896222, 0.93461084]",0
cooler,cooler nn,"['cooler', 'nn']","[1575, 4373]",2,"[0.012921482, 0.08072817, 0.9361412]",0
cooling,cooling vbg,"['cooling', 'vbg']","[209, 4388]",1,"[0.0053275526, 0.7216707, 0.19381848]",0
copy,copy nn,"['copy', 'nn']","[1557, 4373]",2,"[0.013897836, 0.079110205, 0.9360052]",0
copying,copying nn,"['copying', 'nn']","[3431, 4373]",2,"[0.029355198, 0.053575784, 0.91851664]",0
core,core nn,"['core', 'nn']","[2572, 4373]",2,"[0.02016002, 0.06209299, 0.935387]",0
corner,corner nn,"['corner', 'nn']","[2893, 4373]",2,"[0.031962723, 0.04687786, 0.91465837]",0
corosion,corosion nn,"['corosion', 'nn']","[2827, 4373]",2,"[0.030104011, 0.05213532, 0.9169891]",0
correct,correct nn,"['correct', 'nn']","[132, 4373]",2,"[0.030272633, 0.29575554, 0.54493684]",0
corrected,corrected vbn,"['corrected', 'vbn']","[2191, 4372]",2,"[0.3161579, 0.0682714, 0.5228207]",0
corrective,corrective nn,"['corrective', 'nn']","[1362, 4373]",2,"[0.011075169, 0.07697898, 0.93969727]",0
correctl,correctl nn,"['correctl', 'nn']","[2077, 4373]",2,"[0.024197698, 0.059340954, 0.9289782]",0
correctly adjusted,correctly rb adjusted vbn,"['correctly', 'rb', 'adjusted', 'vbn']","[110, 4371, 408, 4372]",0,"[0.9278947, 0.022841215, 0.029177696]",0
correctly as pump pressure,correctly rb as in_pos pump nn pressure nn,"['correctly', 'rb', 'as', 'in_pos', 'pump', 'nn', 'pressure', 'nn']","[110, 4371, 32, 4374, 3, 4373, 21, 4373]",2,"[0.01317206, 0.2884914, 0.60386145]",0
correctly at time,correctly rb at in_pos time nn,"['correctly', 'rb', 'at', 'in_pos', 'time', 'nn']","[110, 4371, 16, 4374, 30, 4373]",1,"[0.052323073, 0.54460245, 0.12807992]",0
correctly belt,correctly rb belt nn,"['correctly', 'rb', 'belt', 'nn']","[110, 4371, 84, 4373]",0,"[0.94284916, 0.0039001405, 0.034268796]",0
correctly changed,correctly rb changed vbn,"['correctly', 'rb', 'changed', 'vbn']","[110, 4371, 55, 4372]",0,"[0.8539823, 0.28546852, 0.0012636185]",0
correctly checked,correctly rb checked vbn,"['correctly', 'rb', 'checked', 'vbn']","[110, 4371, 26, 4372]",0,"[0.97105, 0.0333212, 0.0020152628]",0
correctly clean,correctly rb clean jj,"['correctly', 'rb', 'clean', 'jj']","[110, 4371, 198, 4378]",0,"[0.9979583, 0.00023376942, 0.0026614666]",1
correctly completed,correctly rb completed vbn,"['correctly', 'rb', 'completed', 'vbn']","[110, 4371, 72, 4372]",0,"[0.82194316, 0.43257383, 0.0006147325]",0
correctly componentss,correctly rb componentss nn,"['correctly', 'rb', 'componentss', 'nn']","[110, 4371, 4133, 4373]",0,"[0.99862665, 0.0004427433, 0.0001552999]",1
correctly differential,correctly rb differential jj,"['correctly', 'rb', 'differential', 'jj']","[110, 4371, 180, 4378]",0,"[0.99951106, 0.00018131733, 0.0003479123]",1
correctly discharge,correctly rb discharge nn,"['correctly', 'rb', 'discharge', 'nn']","[110, 4371, 64, 4373]",0,"[0.8616538, 0.0039781034, 0.097317606]",0
correctly drain,correctly rb drain nn,"['correctly', 'rb', 'drain', 'nn']","[110, 4371, 414, 4373]",0,"[0.8909546, 0.0022239983, 0.10459554]",0
correctly drained,correctly rb drained vbn,"['correctly', 'rb', 'drained', 'vbn']","[110, 4371, 261, 4372]",0,"[0.9188602, 0.048101217, 0.012183636]",0
correctly during daily operation,correctly rb during in_pos daily jj operation nn,"['correctly', 'rb', 'during', 'in_pos', 'daily', 'jj', 'operation', 'nn']","[110, 4371, 108, 4374, 824, 4378, 173, 4373]",2,"[0.028471768, 0.014081389, 0.9402677]",0
correctly ensured,correctly rb ensured vbn,"['correctly', 'rb', 'ensured', 'vbn']","[110, 4371, 784, 4372]",0,"[0.8471238, 0.016880333, 0.09009519]",0
correctly examine,correctly rb examine vb,"['correctly', 'rb', 'examine', 'vb']","[110, 4371, 139, 4383]",2,"[0.3369613, 0.0011688173, 0.74108624]",0
correctly examined,correctly rb examined vbn,"['correctly', 'rb', 'examined', 'vbn']","[110, 4371, 82, 4372]",0,"[0.9285836, 0.015288115, 0.021901995]",0
correctly found,correctly rb found vbn,"['correctly', 'rb', 'found', 'vbn']","[110, 4371, 45, 4372]",0,"[0.8777902, 0.04906279, 0.019125074]",0
correctly gear,correctly rb gear vbp,"['correctly', 'rb', 'gear', 'vbp']","[110, 4371, 102, 4381]",0,"[0.5315842, 0.00016087294, 0.5179425]",0
correctly good,correctly rb good jj,"['correctly', 'rb', 'good', 'jj']","[110, 4371, 25, 4378]",0,"[0.99964, 0.00022995472, 0.00012630224]",1
correctly grease,correctly rb grease nn,"['correctly', 'rb', 'grease', 'nn']","[110, 4371, 201, 4373]",0,"[0.94077396, 0.0025980175, 0.047962338]",0
correctly greased,correctly rb greased vbn,"['correctly', 'rb', 'greased', 'vbn']","[110, 4371, 95, 4372]",0,"[0.941311, 0.05894035, 0.00373438]",0
correctly gresed,correctly rb gresed vbn,"['correctly', 'rb', 'gresed', 'vbn']","[110, 4371, 2772, 4372]",0,"[0.9916136, 0.002455622, 0.00216493]",1
correctly if drilling,correctly rb if in_pos drilling nn,"['correctly', 'rb', 'if', 'in_pos', 'drilling', 'nn']","[110, 4371, 126, 4374, 296, 4373]",1,"[0.030618161, 0.40340036, 0.32740647]",0
correctly inspected,correctly rb inspected vbn,"['correctly', 'rb', 'inspected', 'vbn']","[110, 4371, 36, 4372]",0,"[0.80187607, 0.021291196, 0.07135868]",0
correctly linear,correctly rb linear jj,"['correctly', 'rb', 'linear', 'jj']","[110, 4371, 547, 4378]",0,"[0.9949771, 0.00024205446, 0.008864641]",1
correctly lube,correctly rb lube nn,"['correctly', 'rb', 'lube', 'nn']","[110, 4371, 29, 4373]",0,"[0.9957046, 0.0033539832, 0.00043946505]",1
correctly lubricated,correctly rb lubricated vbn,"['correctly', 'rb', 'lubricated', 'vbn']","[110, 4371, 515, 4372]",0,"[0.9118966, 0.020372361, 0.045018345]",0
correctly made,correctly rb made vbn,"['correctly', 'rb', 'made', 'vbn']","[110, 4371, 147, 4372]",0,"[0.8901874, 0.17778486, 0.0019505918]",0
correctly new,correctly rb new jj,"['correctly', 'rb', 'new', 'jj']","[110, 4371, 61, 4378]",0,"[0.9988386, 0.0007414818, 0.00043722987]",1
correctly note,correctly rb note nn,"['correctly', 'rb', 'note', 'nn']","[110, 4371, 190, 4373]",0,"[0.9210652, 0.003957033, 0.05297041]",0
correctly ok,correctly rb ok jj,"['correctly', 'rb', 'ok', 'jj']","[110, 4371, 131, 4378]",0,"[0.9989442, 0.00025969744, 0.00082197785]",1
correctly pre,correctly rb pre nn,"['correctly', 'rb', 'pre', 'nn']","[110, 4371, 543, 4373]",0,"[0.9396422, 0.0021671057, 0.05377233]",0
correctly psi,correctly rb psi nns,"['correctly', 'rb', 'psi', 'nns']","[110, 4371, 15, 4376]",0,"[0.9998241, 6.2005776e-05, 4.8643742e-05]",1
correctly pump,correctly rb pump nn,"['correctly', 'rb', 'pump', 'nn']","[110, 4371, 3, 4373]",0,"[0.96237683, 0.056180984, 0.00052925944]",0
correctly recorded,correctly rb recorded vbn,"['correctly', 'rb', 'recorded', 'vbn']","[110, 4371, 267, 4372]",0,"[0.9387734, 0.021052212, 0.019396573]",0
correctly removed,correctly rb removed vbn,"['correctly', 'rb', 'removed', 'vbn']","[110, 4371, 71, 4372]",0,"[0.898177, 0.11691353, 0.0046646595]",0
correctly tensioned,correctly rb tensioned vbn,"['correctly', 'rb', 'tensioned', 'vbn']","[110, 4371, 399, 4372]",0,"[0.91907376, 0.023002058, 0.033198893]",0
correctly visual,correctly rb visual jj,"['correctly', 'rb', 'visual', 'jj']","[110, 4371, 183, 4378]",0,"[0.99864733, 0.0002528429, 0.0012171566]",1
correctly with good flow,correctly rb with in_pos good jj flow nn,"['correctly', 'rb', 'with', 'in_pos', 'good', 'jj', 'flow', 'nn']","[110, 4371, 24, 4374, 25, 4378, 570, 4373]",2,"[0.17312428, 0.0002734065, 0.9662734]",0
correctlyn,correctlyn nn,"['correctlyn', 'nn']","[4224, 4373]",2,"[0.034172326, 0.04559496, 0.910808]",0
correctlyok,correctlyok nn,"['correctlyok', 'nn']","[2103, 4373]",2,"[0.025666595, 0.057026595, 0.9264996]",0
correspondence,correspondence nn,"['correspondence', 'nn']","[4150, 4373]",2,"[0.044634312, 0.036520183, 0.8891748]",0
corrision,corrision nn,"['corrision', 'nn']","[4344, 4373]",2,"[0.025296569, 0.057056874, 0.9270563]",0
corrosion,corrosion nn,"['corrosion', 'nn']","[96, 4373]",2,"[0.06848022, 0.014294207, 0.81698936]",0
corrosions,corrosions nns,"['corrosions', 'nns']","[2800, 4376]",2,"[0.046153575, 0.03387949, 0.83456755]",0
corrsion,corrsion nn,"['corrsion', 'nn']","[4187, 4373]",2,"[0.031716675, 0.048027575, 0.9150772]",0
cost,cost nn,"['cost', 'nn']","[1503, 4373]",2,"[0.017948985, 0.067661405, 0.9373317]",0
could have been,could md have vb been vbn,"['could', 'md', 'have', 'vb', 'been', 'vbn']","[465, 4382, 59, 4383, 57, 4372]",1,"[0.021540701, 0.7590221, 0.11484021]",0
couldnt,couldnt nn,"['couldnt', 'nn']","[2252, 4373]",2,"[0.019795895, 0.06832415, 0.9340623]",0
count,count nn,"['count', 'nn']","[1189, 4373]",2,"[0.010199875, 0.074192464, 0.941732]",0
counted,counted vbn,"['counted', 'vbn']","[3927, 4372]",2,"[0.3608635, 0.054711998, 0.47684506]",0
counter,counter nn,"['counter', 'nn']","[1197, 4373]",2,"[0.010459632, 0.07315245, 0.9421606]",0
counters,counters nns,"['counters', 'nns']","[994, 4376]",2,"[0.05437261, 0.05899602, 0.7689139]",0
counting,counting nn,"['counting', 'nn']","[4285, 4373]",2,"[0.045795947, 0.03595102, 0.88730943]",0
countoil,countoil nn,"['countoil', 'nn']","[3764, 4373]",2,"[0.030254275, 0.049367636, 0.9173815]",0
counts,counts nns,"['counts', 'nns']","[2529, 4376]",2,"[0.046078414, 0.038900316, 0.83492553]",0
coupler,coupler nn,"['coupler', 'nn']","[778, 4373]",2,"[0.008026868, 0.05871916, 0.9491409]",0
coupling,coupling vbg,"['coupling', 'vbg']","[136, 4388]",1,"[0.0060307086, 0.63487566, 0.2608539]",0
couplingjustin,couplingjustin nn,['nn'],[4373],2,"[0.01637885, 0.12880343, 0.89699197]",0
couplings,couplings nns,"['couplings', 'nns']","[367, 4376]",2,"[0.047947645, 0.12959182, 0.59831244]",0
cover,cover nn,"['cover', 'nn']","[88, 4373]",2,"[0.0006958842, 0.21879905, 0.8185004]",0
cover from power,cover nn from in_pos power nn,"['cover', 'nn', 'from', 'in_pos', 'power', 'nn']","[88, 4373, 34, 4374, 163, 4373]",1,"[0.0071941614, 0.7626619, 0.13627896]",0
cover installed,cover nn installed vbd,"['cover', 'nn', 'installed', 'vbd']","[88, 4373, 77, 4380]",1,"[0.0004363954, 0.96127295, 0.03033629]",0
cover removed,cover nn removed vbd,"['cover', 'nn', 'removed', 'vbd']","[88, 4373, 71, 4380]",1,"[0.00041598082, 0.9399185, 0.04843858]",0
cover visual,cover nn visual jj,"['cover', 'nn', 'visual', 'jj']","[88, 4373, 183, 4378]",0,"[0.9880409, 0.01148212, 0.0017556548]",0
coverage,coverage nn,"['coverage', 'nn']","[2473, 4373]",2,"[0.02074933, 0.061785072, 0.9338758]",0
covered,covered vbn,"['covered', 'vbn']","[1018, 4372]",2,"[0.25587678, 0.17557597, 0.49346754]",0
covering,covering vbg,"['covering', 'vbg']","[4358, 4388]",2,"[0.0152127445, 0.0380812, 0.9534331]",0
coverroger,coverroger nn,['nn'],[4373],2,"[0.01637885, 0.12880343, 0.89699197]",0
covers,covers nns,"['covers', 'nns']","[86, 4376]",1,"[0.12983137, 0.33739454, 0.080911756]",0
covers checked,covers nns checked vbd,"['covers', 'nns', 'checked', 'vbd']","[86, 4376, 26, 4380]",2,"[0.02148074, 0.1135366, 0.76500237]",0
covers checking,covers nns checking vbg,"['covers', 'nns', 'checking', 'vbg']","[86, 4376, 741, 4388]",2,"[0.00030237436, 0.08809793, 0.92902213]",0
covers fro,covers nns fro vbp,"['covers', 'nns', 'fro', 'vbp']","[86, 4376, 4111, 4381]",2,"[0.20004869, 0.013017535, 0.51353717]",0
covers inspected,covers nns inspected vbd,"['covers', 'nns', 'inspected', 'vbd']","[86, 4376, 36, 4380]",2,"[0.00045791268, 0.010225922, 0.9872781]",0
covers installed,covers nns installed vbd,"['covers', 'nns', 'installed', 'vbd']","[86, 4376, 77, 4380]",2,"[0.0020827353, 0.43815187, 0.5519902]",0
covers re,covers nns re vbp,"['covers', 'nns', 're', 'vbp']","[86, 4376, 855, 4381]",2,"[0.009767085, 0.0015007257, 0.9899106]",0
covers removed,covers nns removed vbd,"['covers', 'nns', 'removed', 'vbd']","[86, 4376, 71, 4380]",2,"[0.0025333464, 0.26203698, 0.7126019]",0
covers tank,covers nns tank vbd,"['covers', 'nns', 'tank', 'vbd']","[86, 4376, 195, 4380]",2,"[0.0014236271, 0.07997632, 0.91382205]",0
covers working,covers nns working vbg,"['covers', 'nns', 'working', 'vbg']","[86, 4376, 78, 4388]",1,"[0.0007211864, 0.84428203, 0.12659195]",0
cr,cr nn,"['cr', 'nn']","[1396, 4373]",2,"[0.013065457, 0.07948509, 0.9370854]",0
cr submitted,cr nn submitted vbd,"['cr', 'nn', 'submitted', 'vbd']","[1396, 4373, 1014, 4380]",2,"[0.00903374, 0.04088658, 0.95281184]",0
crack,crack nn,"['crack', 'nn']","[1049, 4373]",2,"[0.009388775, 0.062355876, 0.9484719]",0
cracked,cracked vbn,"['cracked', 'vbn']","[710, 4372]",2,"[0.27974874, 0.14923704, 0.47517893]",0
cracking,cracking vbg,"['cracking', 'vbg']","[1297, 4388]",2,"[0.013723642, 0.08124077, 0.8945818]",0
cracks,cracks nns,"['cracks', 'nns']","[156, 4376]",2,"[0.10068548, 0.076349586, 0.38907042]",0
crackschecked,crackschecked nns,"['crackschecked', 'nns']","[4185, 4376]",2,"[0.04326752, 0.033468932, 0.8459145]",0
craig,craig nn,"['craig', 'nn']","[4286, 4373]",2,"[0.041754037, 0.037169456, 0.89647853]",0
crakes,crakes nns,"['crakes', 'nns']","[2871, 4376]",2,"[0.042845696, 0.03154418, 0.84860826]",0
cranck,cranck nn,"['cranck', 'nn']","[2823, 4373]",2,"[0.038108915, 0.041309714, 0.9030382]",0
cranckshaft,cranckshaft nn,"['cranckshaft', 'nn']","[1425, 4373]",2,"[0.011018634, 0.07337943, 0.94170797]",0
crane,crane nn,"['crane', 'nn']","[1483, 4373]",2,"[0.015299648, 0.0753738, 0.9365454]",0
crank,crank nn,"['crank', 'nn']","[221, 4373]",2,"[0.030668586, 0.15864146, 0.69385237]",0
crankcase,crankcase nn,"['crankcase', 'nn']","[214, 4373]",2,"[0.017860025, 0.19544333, 0.73360384]",0
cranks,cranks nns,"['cranks', 'nns']","[1973, 4376]",2,"[0.044787496, 0.043500483, 0.8397046]",0
crankshaft,crankshaft nn,"['crankshaft', 'nn']","[160, 4373]",2,"[0.027201504, 0.034765065, 0.88348]",0
created,created vbn,"['created', 'vbn']","[342, 4372]",1,"[0.28360125, 0.35112274, 0.20978802]",0
creating,creating vbg,"['creating', 'vbg']","[1603, 4388]",2,"[0.015080303, 0.07361746, 0.90222013]",0
crew,crew nn,"['crew', 'nn']","[323, 4373]",2,"[0.016072571, 0.13214606, 0.85007316]",0
crimped,crimped nn,"['crimped', 'nn']","[3666, 4373]",2,"[0.028573424, 0.05133593, 0.9207314]",0
critical,critical jj,"['critical', 'jj']","[1081, 4378]",2,"[0.019650817, 0.07677561, 0.9218961]",0
crooshead,crooshead nn,"['crooshead', 'nn']","[1989, 4373]",2,"[0.024250448, 0.058556557, 0.92807305]",0
croosheads,croosheads nns,"['croosheads', 'nns']","[3354, 4376]",2,"[0.043001384, 0.03439936, 0.8466233]",0
cross,cross nn,"['cross', 'nn']","[203, 4373]",2,"[0.03523615, 0.14151332, 0.67956626]",0
crossed,crossed vbn,"['crossed', 'vbn']","[3734, 4372]",2,"[0.3988741, 0.03258413, 0.465924]",0
crosshead,crosshead nn,"['crosshead', 'nn']","[68, 4373]",2,"[0.021215022, 0.007333398, 0.9553396]",0
crosshead bearing,crosshead nn bearing nn,"['crosshead', 'nn', 'bearing', 'nn']","[68, 4373, 48, 4373]",2,"[0.00029948354, 6.468151e-05, 0.9997088]",1
crosshead greased,crosshead nn greased vbd,"['crosshead', 'nn', 'greased', 'vbd']","[68, 4373, 95, 4380]",2,"[0.012364447, 0.08882022, 0.648618]",0
crossheads,crossheads nns,"['crossheads', 'nns']","[355, 4376]",2,"[0.045811296, 0.13042861, 0.5974279]",0
crosshed,crosshed nns,"['crosshed', 'nns']","[1255, 4376]",2,"[0.055458695, 0.051374733, 0.78866255]",0
crossover,crossover nn,"['crossover', 'nn']","[1644, 4373]",2,"[0.011745214, 0.077198446, 0.9389228]",0
crow,crow nn,"['crow', 'nn']","[3500, 4373]",2,"[0.030075103, 0.05115348, 0.91795146]",0
crows,crows nns,"['crows', 'nns']","[2477, 4376]",2,"[0.04192111, 0.04025054, 0.850675]",0
crushed,crushed vbn,"['crushed', 'vbn']","[3817, 4372]",2,"[0.3665293, 0.04692465, 0.48256478]",0
csa,csa nn,"['csa', 'nn']","[1803, 4373]",2,"[0.018259585, 0.071222246, 0.9356099]",0
csc,csc nn,"['csc', 'nn']","[3301, 4373]",2,"[0.035008132, 0.044545233, 0.9090187]",0
ctr,ctr nn,"['ctr', 'nn']","[1449, 4373]",2,"[0.010684043, 0.0684745, 0.9449096]",0
cupboard,cupboard nn,"['cupboard', 'nn']","[3034, 4373]",2,"[0.041413516, 0.037961245, 0.8965616]",0
cupen,cupen nn,"['cupen', 'nn']","[2406, 4373]",2,"[0.022763222, 0.060659945, 0.9306762]",0
current,current jj,"['current', 'jj']","[631, 4378]",2,"[0.020562679, 0.09247443, 0.8896959]",0
currently at psi,currently rb at in_pos psi nn,"['currently', 'rb', 'at', 'in_pos', 'psi', 'nn']","[495, 4371, 16, 4374, 15, 4373]",1,"[0.16257605, 0.6749497, 0.016262382]",0
currently at utilization,currently rb at in_pos utilization nn,"['currently', 'rb', 'at', 'in_pos', 'utilization', 'nn']","[495, 4371, 16, 4374, 2469, 4373]",1,"[0.26487842, 0.3488171, 0.014599711]",0
currently available,currently rb available jj,"['currently', 'rb', 'available', 'jj']","[495, 4371, 847, 4378]",0,"[0.98306185, 0.0017062128, 0.014096379]",0
currently due,currently rb due jj,"['currently', 'rb', 'due', 'jj']","[495, 4371, 87, 4378]",0,"[0.9982428, 0.0017052293, 0.00033771992]",1
